SDG01,SDG02,SDG03,SDG04,SDG05,SDG06,SDG07,SDG08,SDG09,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0
1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0
0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1
1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0
1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1
1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1
0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1
1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1
1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1
1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1
1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0
0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0
1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0
1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1
1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1
1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0
1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1
1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1
1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1
1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0
1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1
1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1
1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1
1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1
1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0
1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1
1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
